flat_id,destination_id,pt_total,pt_walk,pt_bus,pt_rail,pt_transit,pt_transfers,pt_fare,drive_total,cycle_total,walk_total
"R21","D02","82","37","8","29","38","1","2.33","26","166","237"
"R21","D03","61","10","4","43","48","1","2.37","34","186","307"
"R21","D04","66","12","4","44","49","1","2.4","35","188","313"
"R21","D05","58","18","3","30","33","1","2.0","30","115","237"
"R21","D06","106","19","70","7","77","1","2.49","39","304","388"
"R21","D07","48","15","6","20","27","1","1.73","28","113","199"
"R21","D08","26","10","13","0","13","0","1.15","7","42","40"
"R21","D09","54","10","4","36","41","1","2.18","30","173","266"
"R21","D10","77","28","3","39","42","1","2.25","35","153","301"
"R22","D01","56","14","7","28","36","1","2.33","30","146","225"
"R22","D02","74","26","8","32","40","1","2.38","26","163","237"
"R22","D03","54","6","1","43","45","1","2.31","34","183","294"
"R22","D04","57","9","1","40","41","1","2.21","35","185","300"
"R22","D05","57","14","1","33","34","1","2.07","30","112","237"
"R22","D06","95","15","66","7","73","1","2.44","38","287","374"
"R22","D07","47","10","6","23","30","1","1.83","28","110","200"
"R22","D08","18","5","10","0","10","0","1.12","7","26","32"
"R22","D09","47","6","1","36","37","1","2.12","30","170","261"
"R22","D10","68","26","1","37","38","1","2.11","35","150","301"
"R23","D01","46","7","7","25","32","1","2.27","29","141","211"
"R23","D02","63","20","8","29","38","1","2.33","25","158","222"
"R23","D03","54","7","0","46","46","0","2.42","33","177","295"
"R23","D04","60","9","0","47","47","0","2.43","34","180","302"
"R23","D05","50","15","0","30","30","0","2.3","29","107","222"
"R23","D06","88","19","0","60","60","0","2.51","38","292","384"
"R23","D07","39","9","3","20","24","1","2.07","27","105","185"
"R23","D08","24","12","4","4","8","1","1.15","10","31","47"
"R23","D09","46","7","0","39","39","0","2.33","29","165","251"
"R23","D10","65","18","1","39","40","1","2.42","33","145","287"
"R24","D01","68","17","7","39","46","1","2.42","40","199","284"
"R24","D02","90","29","8","43","52","1","2.47","37","217","296"
"R24","D03","45","7","3","32","36","1","2.3","31","236","235"
"R24","D04","50","8","3","33","36","1","2.33","32","239","241"
"R24","D05","57","17","3","31","34","1","2.33","37","166","255"
"R24","D06","83","14","59","7","66","1","2.25","35","240","302"
"R24","D07","59","10","8","34","43","1","2.19","38","163","259"
"R24","D08","32","8","21","0","21","0","1.26","11","43","51"
"R24","D09","38","7","3","25","28","1","2.2","30","223","202"
"R24","D10","66","30","3","28","31","1","2.24","32","203","244"
"R25","D01","62","10","7","39","46","1","2.42","42","197","292"
"R25","D02","81","23","8","43","52","1","2.47","39","215","310"
"R25","D03","43","10","0","32","32","0","2.24","32","234","238"
"R25","D04","50","15","0","34","34","0","2.27","33","236","244"
"R25","D05","54","21","0","31","31","0","2.27","39","164","259"
"R25","D06","75","22","0","46","46","0","2.42","35","228","300"
"R25","D07","58","14","5","34","40","1","2.14","41","161","272"
